Ref_ID,Cross_Ref_ID,Title,Authors,Year,Journal,Volume,Start_page,End_page,PubMed,Comment,Tissue_processing,Start_material,Prescreening,Material_sequenced,exon2,exon3,exon4,exon5,exon6,exon7,exon8,exon9,exon10,exon11,Exclude_analysis,WGS_WXS
1342,1342,Deregulation of the p14ARF/MDM2/p53 pathway is a prerequisite for human astrocytic gliomas with G1-S transition control gene abnormalities,Ichimura K;Bolin MB;Goike HM;Schmidt EE;Moshref A;Collins VP;,2000,Cancer Res,60,417,424,0010667596,See ref 2097,frozen,DNA,DGGE,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
1343,,p53 alterations in recurrent squamous cell cancer of the head and neck refractory to radiotherapy,Ganly I;Soutar DS;Brown R;Kaye SB;,2000,Br J Cancer,82,392,398,0010646894,,frozen,DNA,none,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
1344,1344,Spontaneous apoptosis in ovarian carcinomas: a positive association with p53 gene mutation is dependent on growth fraction,Kupryjanczyk J;Dansonka-Mieszkowska A;Szymanska T;Karpinska G;Rembiszewska A;Rusin M;Konopinski R;Kraszewska E;Timorek A;Yandell DW;Stelmachow J;,2000,Br J Cancer,82,579,583,0010682669,See ref 2079,,DNA,SSCP,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
1345,,Mutation analysis of P73 and TP53 in Merkel cell carcinoma,Van Gele M;Kaghad M;Leonard JH;van Roy N;Naeyaert JM;Geerts ML;Van Belle S;Cocquyt V;Bridge J;Sciot R;Wolf-Peeters C;De Paepe A;Caput D;Speleman F;,2000,Br J Cancer,82,823,826,0010732753,,frozen,RNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1346,1099,Distinct prognostic values of p53 mutations and loss of estrogen receptor and their cumulative effect in primary breast cancers,Takahashi M;Tonoki H;Tada M;Kashiwazaki H;Furuuchi K;Hamada J;Fujioka Y;Sato Y;Takahashi H;Todo S;Sakuragi N;Moriuchi T;,2000,Int J Cancer,89,92,99,0010719737,,frozen,RNA,FASAY,cloned,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No
1347,,Clinical significance of p53 functional loss in squamous cell carcinoma of the oropharynx,Obata A;Eura M;Sasaki J;Saya H;Chikamatsu K;Tada M;Iggo RD;Yumoto E;,2000,Int J Cancer,89,187,193,0010754498,,fresh,RNA,FASAY,cloned,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
1348,,TP53 mutation and p53 overexpression for prediction of response to neoadjuvant treatment in breast cancer patients,Kandioler-Eckersberger D;Ludwig C;Rudas M;Kappel S;Janschek E;Wenzel C;Schlagbauer-Wadl H;Mittlbock M;Gnant M;Steger G;Jakesz R;,2000,Clin Cancer Res,6,50,56,0010656431,,fixed,DNA,none,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
1350,1350,"Microsatellite instability and k-ras, p53 mutations in thyroid lymphoma",Takakuwa T;Hongyo T;Syaifudin M;Kanno H;Matsuzuka F;Narabayashi I;Nomura T;Aozasa K;,2000,Jpn J Cancer Res,91,280,286,0010760686,See ref 1422,frozen/fixed,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1351,,p53 status in multiple human urothelial cancers: assessment for clonality by the yeast p53 functional assay in combination with p53 immunohistochemistry,Yamamoto S;Tada M;Lee CC;Masuda C;Wanibuchi H;Yoshimura R;Wada S;Yamamoto K;Kishimoto T;Fukushima S;,2000,Jpn J Cancer Res,91,181,189,0010761705,,frozen,RNA,FASAY,cloned,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
1352,,Mutations in zinc-binding domains of p53 as a prognostic marker of esophageal-cancer patients,Kihara C;Seki T;Furukawa Y;Yamana H;Kimura Y;van Schaardenburgh P;Hirata K;Nakamura Y;,2000,Jpn J Cancer Res,91,190,198,0010761706,,frozen,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
